"control_id","control_name","baseline","control_description","supplemental_guidance","purpose","scope","applicability","miscellaneous","section_header","source_file","extraction_source","compliance_date","published_url"
"AUP 1.001","","","Users shall complete acceptable use training within 30 days of onboarding and annually thereafter. PL-4","","This policy defines the acceptable use of organizational information technology resources, including computers, networks, email, internet access, mobile devices, and cloud services. The purpose is to protect organizational assets, data, and reputation while enabling personnel to perform their duties effectively.","","This policy applies to all personnel who access organizational IT resources, including full-time employees, part-time employees, contractors, interns, volunteers, and temporary staff. It covers all devices and systems, whether owned by the organization or personally owned devices used for organizational purposes (BYOD). For BYOD-specific requirements, refer to Section 4.3 of the Mobile Device Management Policy.","","Appendix","Acceptable_Use_Policy_POL-AU-2026-006.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Acceptable_Use_Policy_POL-AU-2026-006.docx"
"AUP 1.002","","","Users shall sign an acceptable use agreement before being granted access to organizational systems. PL-4(1)","","This policy defines the acceptable use of organizational information technology resources, including computers, networks, email, internet access, mobile devices, and cloud services. The purpose is to protect organizational assets, data, and reputation while enabling personnel to perform their duties effectively.","","This policy applies to all personnel who access organizational IT resources, including full-time employees, part-time employees, contractors, interns, volunteers, and temporary staff. It covers all devices and systems, whether owned by the organization or personally owned devices used for organizational purposes (BYOD). For BYOD-specific requirements, refer to Section 4.3 of the Mobile Device Management Policy.","","Appendix","Acceptable_Use_Policy_POL-AU-2026-006.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Acceptable_Use_Policy_POL-AU-2026-006.docx"
"AUP 2.001","","","Organizational systems shall display a login banner stating that use constitutes consent to monitoring. AC-8","","This policy defines the acceptable use of organizational information technology resources, including computers, networks, email, internet access, mobile devices, and cloud services. The purpose is to protect organizational assets, data, and reputation while enabling personnel to perform their duties effectively.","","This policy applies to all personnel who access organizational IT resources, including full-time employees, part-time employees, contractors, interns, volunteers, and temporary staff. It covers all devices and systems, whether owned by the organization or personally owned devices used for organizational purposes (BYOD). For BYOD-specific requirements, refer to Section 4.3 of the Mobile Device Management Policy.","","Appendix","Acceptable_Use_Policy_POL-AU-2026-006.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Acceptable_Use_Policy_POL-AU-2026-006.docx"
"ACC01.001","","","User Account Provisioning All user accounts shall be provisioned through the centralized identity management system with documented approval from the data owner. AC-2 Implemented IT Security","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"ACC01.002","","","Privileged Account Management Privileged accounts shall be reviewed quarterly and require multi-factor authentication for all access. Refer to Section 4.3 for MFA requirements. AC-6 Implemented IT Security","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"ACC02.001","","","Remote Access Controls Remote access shall be permitted only through approved VPN connections with certificate-based authentication. AC-17 Implemented Network Ops","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"ACC02.002","","","Wireless Access Restrictions Wireless network access for organizational devices shall require 802.1X authentication. See the Network Security Policy, Section 3.1 for wireless architecture. AC-18 Partially Implemented Network Ops","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"ACC03.001","","","Session Lock Requirements Information systems shall enforce session lock after 15 minutes of inactivity as described in Section 2.4 above. AC-11 Implemented Endpoint Team","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"ACC03.002","","","Session Termination Sessions shall be automatically terminated after 8 hours of continuous use. AC-12 Not Implemented Endpoint Team Req ID Description Framework Ref","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"SAR01.001","","","CUI systems shall implement role-based access control (RBAC) with documented role definitions reviewed annually. NIST AC-3","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
