control_id,control_name,family,family_name,description,supplemental_guidance,baseline,purpose,scope,applicability,compliance_date,published_url,source,rag_content
AC-1,Policy and Procedures,AC,Access Control,"Develop, document, and disseminate an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.
Develop procedures to facilitate the implementation of the access control policy and the associated access controls.","Access control policy can be included as part of the general security policy. Access control procedures can be developed for the organization and for each system as needed.
Review and update policy and procedures at an organization-defined frequency.",,,,,,,Control Catalog,"Control AC-1: Policy and Procedures
Family: Access Control

Description:
Develop, document, and disseminate an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.
Develop procedures to facilitate the implementation of the access control policy and the associated access controls.

Supplemental Guidance:
Access control policy can be included as part of the general security policy. Access control procedures can be developed for the organization and for each system as needed.
Review and update policy and procedures at an organization-defined frequency."
AC-2,Account Management,AC,Access Control,"Define and document the types of accounts allowed and specifically prohibited for use within the system. Assign account managers. Require conditions for group and role membership.
Authorize access based on a valid authorization, intended system usage, and other organization-defined attributes.","Account management includes the creation, activation, modification, disabling, and removal of accounts. Organizations include explicit authorization and conditions for the use of guest and temporary accounts.
Conditions for account creation include constraints on group and role membership as well as identifying authorized users of the system.",,,,,,,Control Catalog,"Control AC-2: Account Management
Family: Access Control

Description:
Define and document the types of accounts allowed and specifically prohibited for use within the system. Assign account managers. Require conditions for group and role membership.
Authorize access based on a valid authorization, intended system usage, and other organization-defined attributes.

Supplemental Guidance:
Account management includes the creation, activation, modification, disabling, and removal of accounts. Organizations include explicit authorization and conditions for the use of guest and temporary accounts.
Conditions for account creation include constraints on group and role membership as well as identifying authorized users of the system."
AC-3,Access Enforcement,AC,Access Control,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,"Access control policies control access between active entities (users or processes acting on behalf of users) and passive entities (devices, files, records, domains) in organizational systems.
Access enforcement mechanisms can be employed at the application and service level to provide increased security for the organization.",,,,,,,Control Catalog,"Control AC-3: Access Enforcement
Family: Access Control

Description:
Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.

Supplemental Guidance:
Access control policies control access between active entities (users or processes acting on behalf of users) and passive entities (devices, files, records, domains) in organizational systems.
Access enforcement mechanisms can be employed at the application and service level to provide increased security for the organization."
AC-6,Least Privilege,AC,Access Control,"Employ the principle of least privilege, allowing only authorized accesses for users and processes which are necessary to accomplish assigned organizational tasks.","Organizations employ least privilege for specific duties and systems. The principle of least privilege is also applied to system processes, ensuring that the processes have access to systems and operate at privilege levels no higher than necessary to accomplish organizational missions.",,,,,,,Control Catalog,"Control AC-6: Least Privilege
Family: Access Control

Description:
Employ the principle of least privilege, allowing only authorized accesses for users and processes which are necessary to accomplish assigned organizational tasks.

Supplemental Guidance:
Organizations employ least privilege for specific duties and systems. The principle of least privilege is also applied to system processes, ensuring that the processes have access to systems and operate at privilege levels no higher than necessary to accomplish organizational missions."
AT-1,Policy and Procedures,AT,Awareness and Training,"Develop, document, and disseminate a security and privacy awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, and compliance.
Develop procedures to facilitate the implementation of the awareness and training policy.",Awareness and training policy and procedures address the controls in the AT family implemented within systems and organizations. The risk management strategy guides and informs the development of the policy and procedures.,,,,,,,Control Catalog,"Control AT-1: Policy and Procedures
Family: Awareness and Training

Description:
Develop, document, and disseminate a security and privacy awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, and compliance.
Develop procedures to facilitate the implementation of the awareness and training policy.

Supplemental Guidance:
Awareness and training policy and procedures address the controls in the AT family implemented within systems and organizations. The risk management strategy guides and informs the development of the policy and procedures."
AT-2,Literacy Training and Awareness,AT,Awareness and Training,"Provide security and privacy literacy training to system users (including managers, senior executives, and contractors) as part of initial training for new users and at an organization-defined frequency thereafter.
Training includes awareness of security risks associated with user activities and applicable policies, standards, and procedures.","Organizations determine the content and frequency of training based on the specific organizational requirements and the systems to which personnel have authorized access. Training can be role-based and include foundational concepts for new employees, periodic refreshers, and updates when significant changes occur.",,,,,,,Control Catalog,"Control AT-2: Literacy Training and Awareness
Family: Awareness and Training

Description:
Provide security and privacy literacy training to system users (including managers, senior executives, and contractors) as part of initial training for new users and at an organization-defined frequency thereafter.
Training includes awareness of security risks associated with user activities and applicable policies, standards, and procedures.

Supplemental Guidance:
Organizations determine the content and frequency of training based on the specific organizational requirements and the systems to which personnel have authorized access. Training can be role-based and include foundational concepts for new employees, periodic refreshers, and updates when significant changes occur."
AU-1,Policy and Procedures,AU,Audit and Accountability,"Develop, document, and disseminate an audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the audit and accountability policy and the associated audit controls.",Audit and accountability policy and procedures address the controls in the AU family. The risk management strategy is a key factor in establishing policy and procedures.,,,,,,,Control Catalog,"Control AU-1: Policy and Procedures
Family: Audit and Accountability

Description:
Develop, document, and disseminate an audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the audit and accountability policy and the associated audit controls.

Supplemental Guidance:
Audit and accountability policy and procedures address the controls in the AU family. The risk management strategy is a key factor in establishing policy and procedures."
AU-2,Event Logging,AU,Audit and Accountability,"Identify the types of events that the system is capable of logging in support of the audit function. Coordinate the event logging function with other entities requiring audit-related information.
Event types include password changes, failed logons, failed accesses to security objects, administrative privilege usage, and third-party credential usage.","An event is any observable occurrence in a system. The specific events that an organization audits are typically a subset of all possible events. Organizations should consider the auditing of events identified by type, location, or subject.",,,,,,,Control Catalog,"Control AU-2: Event Logging
Family: Audit and Accountability

Description:
Identify the types of events that the system is capable of logging in support of the audit function. Coordinate the event logging function with other entities requiring audit-related information.
Event types include password changes, failed logons, failed accesses to security objects, administrative privilege usage, and third-party credential usage.

Supplemental Guidance:
An event is any observable occurrence in a system. The specific events that an organization audits are typically a subset of all possible events. Organizations should consider the auditing of events identified by type, location, or subject."
AU-6,"Audit Record Review, Analysis, and Reporting",AU,Audit and Accountability,"Review and analyze system audit records at an organization-defined frequency for indications of inappropriate or unusual activity. Report findings to designated organizational officials.
Adjust the level of audit record review, analysis, and reporting when there is a change in risk based on law enforcement information, intelligence information, or other credible sources.","Audit record review, analysis, and reporting covers information security and privacy-related logging performed by organizations. Findings can be reported to organizational elements that have a need to know and can include indicators of compromise or concern.",,,,,,,Control Catalog,"Control AU-6: Audit Record Review, Analysis, and Reporting
Family: Audit and Accountability

Description:
Review and analyze system audit records at an organization-defined frequency for indications of inappropriate or unusual activity. Report findings to designated organizational officials.
Adjust the level of audit record review, analysis, and reporting when there is a change in risk based on law enforcement information, intelligence information, or other credible sources.

Supplemental Guidance:
Audit record review, analysis, and reporting covers information security and privacy-related logging performed by organizations. Findings can be reported to organizational elements that have a need to know and can include indicators of compromise or concern."
CA-1,Policy and Procedures,CA,"Assessment, Authorization, and Monitoring","Develop, document, and disseminate an assessment, authorization, and monitoring policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the policy.","Assessment, authorization, and monitoring policy addresses the controls in the CA family. The policy can be included as part of the general security and privacy policy. Procedures can be developed for the organization and for each system.",,,,,,,Control Catalog,"Control CA-1: Policy and Procedures
Family: Assessment, Authorization, and Monitoring

Description:
Develop, document, and disseminate an assessment, authorization, and monitoring policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the policy.

Supplemental Guidance:
Assessment, authorization, and monitoring policy addresses the controls in the CA family. The policy can be included as part of the general security and privacy policy. Procedures can be developed for the organization and for each system."
